Prov;Poblacion;Mortalidad;Natalidad;IPC;NumEmpresas;Industria;Construccion;CTH;Infor;AFS;APT;TasaActividad;TasaParo;Ocupados;PIB;CANE;TVF;VS
Albacete;396987;9,41;9,02;101,819;26701;3332;3428;11111;189;624;3278;57,72;23,28;144,8;7235991;20888;215948;30244
Alicante;1868438;8;8,52;102,309;130438;9992;17418;52720;1851;2745;19865;58,21;23,39;687,1;32139347;25968;1274096;326705
Almería;701688;6,91;11,41;101,454;40327;2191;5388;18184;366;944;5840;60,63;31,08;234,4;11909684;22945;395086;72486
Álava;321932;7,72;10,26;102,743;19548;2048;2669;7557;323;354;3341;57,86;13,33;133;10716021;3691;155767;9791
Asturias;1061756;12,16;6,26;102,07;67451;3496;8435;28045;787;1445;10598;51,42;16,97;389;21770433;23910;613905;73250
Badajoz;690929;9,54;8,96;101,036;39640;3059;4599;18420;332;948;5235;56;29,63;224,6;10581366;37438;372493;49441
Balears;1103442;7,08;9,51;104,051;87111;4413;14485;30644;1403;1627;16444;68,69;13,88;555,3;26166087;10748;586709;85717
Barcelona;5523784;8,18;9,64;104,762;441119;27416;50750;155779;11134;8829;86985;61,78;17,24;2278,3;145678166;10028;2603097;151335
Bizkaia;1151905;9,81;8,55;103,475;77718;5276;10838;30873;1584;1621;13507;55,19;14,85;450,8;32026630;7064;533882;22883
Burgos;366900;10,5;7,74;103,87;25301;1791;3657;9763;198;490;3104;57,31;16,12;145,6;9686905;12625;253505;65684
Cantabria;588656;10,05;7,78;102,975;37332;2071;5413;15112;397;796;5646;56,49;16,19;233,6;12365780;10352;358499;74697
Castellón;587508;8,75;9,3;101,561;38668;2804;5282;15449;450;831;5885;58,75;20,94;220,2;12862819;26175;420421;104547
Ceuta;84963;5,91;14,2;101,484;3749;81;309;2030;35;52;504;60,32;30,59;27,2;1548079;6;26652;413
Ciudad Real;519613;9,77;8,23;101,312;30113;2511;4266;13357;216;731;3894;55,54;29,98;165,4;9881134;37748;285971;41522
Coruña;1132735;10,65;7,28;102,757;81432;4776;12283;32216;1099;2003;13203;54,72;16,07;446,8;23848122;28418;646613;86193
Cuenca;207449;11;7,4;101,459;13562;1311;2214;6192;72;300;1384;52,75;22,04;71,3;4093969;21872;156495;50739
Cáceres;408703;10,32;7,35;102,07;24835;1738;3839;10963;200;516;3112;54,83;26,61;137,4;6435360;27792;275857;68756
Cádiz;1240175;7,43;9,61;102,335;57813;2666;5374;27017;523;1424;8667;58,22;37,18;371,8;20382458;10416;618546;94562
Córdoba;799402;8,99;9,01;102,403;45985;4069;4844;20936;436;1105;6672;56,57;30,99;255,9;12766642;36972;396085;43721
Gipuzkoa;715148;9,23;8,99;103,965;51309;4671;7656;19456;866;924;8461;56,58;12,22;291,9;21519372;5799;327952;14985
Girona;756156;8,11;9,98;102,97;59019;3649;9396;21602;837;1115;8822;63,5;18,05;314,1;19646591;6329;489214;141700
Granada;919455;8,35;9,13;102,319;55740;3323;6564;24283;727;1288;8964;58,01;29,73;308,3;14943536;41671;532088;88804
Guadalajara;255426;7,16;9,55;101,918;13174;804;2403;5074;173;302;1916;66,68;19,09;110,3;5086041;6617;173035;53334
Huelva;519229;8,17;9,84;102,327;23776;1255;2418;11389;214;610;3485;56,75;30,86;168,1;9298405;12532;287807;64917
Huesca;224909;11,26;7,75;102,285;16305;1149;2549;6365;159;337;2330;59,3;13,79;94,4;5654424;16280;155971;45605
Jaén;659033;9,39;8,53;101,397;33016;2919;3485;15527;217;889;4279;54,78;35,38;191,7;9913384;65960;343916;37002
León;484694;12,24;6,31;102,453;31387;2258;5054;13511;294;735;4222;50,27;19,93;166,4;9823048;15171;325107;60235
Lleida;438001;9,59;9,63;103,122;33216;2374;5086;13114;367;732;4841;63,9;14,04;193,5;11796872;20262;244841;36496
Lugo;342748;14,36;6,32;102,737;24087;1603;3835;10723;142;573;3112;52,17;14,73;132,6;6641502;25458;224049;42919
Madrid;6454440;6,75;10,23;102,707;508612;22608;59661;158331;19058;12357;123863;63,93;16,27;2806,4;198652445;8284;2894679;162022
Melilla;84509;5,82;19,33;100,6;4102;75;330;2358;40;50;521;57,68;31,4;24,6;1397441;3;26233;200
Murcia;1466818;7,05;11,12;102,362;90031;6681;12194;37487;1026;1972;13847;59,18;23,49;535,4;26994938;32698;776700;132216
Málaga;1621968;7,51;9,61;102,561;111792;3992;12773;45484;1723;2564;20384;60,34;28,97;578,6;26612116;26617;897400;170438
Navarra;640790;8,63;9,71;102,133;43131;3850;6122;16688;590;781;7558;59,29;13,57;267,2;17785497;15871;308602;24540
Ourense;322293;13,74;5,79;102,433;22991;1886;4064;9541;175;598;2818;47,41;18,11;108,3;6292310;13092;245970;56049
Palencia;167609;12,97;7,09;103,039;10229;778;1538;4644;73;231;1257;56,67;17,31;65,1;3978758;7099;112221;26299
Palmas;1100027;6,4;7,85;101,062;69188;2521;7441;29606;1066;1413;12831;61,48;29,7;401,4;20991329;5223;532058;45829
Pontevedra;950919;9,07;7,79;102,538;67085;4283;9560;28922;732;1675;9981;54,71;20,47;351,3;17934597;14206;488848;61691
Rioja;319002;9,17;9,01;102,701;23083;2401;3073;8488;220;510;3290;58,78;13,59;131,9;7758416;10234;198669;32940
Salamanca;342459;10,8;6,81;102,182;22316;1810;3104;9495;242;477;3051;55,12;13,56;137,9;6534071;13868;236869;59369
Santa Cruz ;1004788;7,15;7,58;101,012;63669;2493;6789;27408;1000;1272;11515;62,06;27,35;392,1;19580823;8950;508887;66901
Segovia;159303;10,83;8,06;102,54;10772;789;1905;4628;85;222;1476;58,88;13,45;67,1;3283736;8863;124086;40865
Sevilla;1941355;7,63;10,4;101,933;111645;6411;10853;47019;1796;3039;19935;59,99;31,23;649,3;35792115;28991;882218;56774
Soria;92221;12,38;6,98;102,153;5903;514;950;2357;38;115;779;55,84;11,95;37,8;2101321;5200;76670;25967
Tarragona;800962;8,14;9,61;102,266;51015;2944;7625;19983;683;1145;7602;63,09;20,55;324,9;21150472;24220;526229;140549
Teruel;140365;12,07;8,02;101,924;9153;834;1726;3706;90;198;980;56,7;15,46;55,2;3432505;11821;112136;40672
Toledo;699136;7,9;9,31;101,591;42236;4215;7089;17759;372;951;5107;60,5;24,86;254;11857596;35290;413491;78928
Valencia;2548898;8,57;9,08;102,974;170427;11447;18707;66298;2801;4459;31008;59,89;21,96;975,6;53100702;68037;1452545;223885
Valladolid;529157;8,76;8,16;102,998;33322;2108;4181;13308;445;735;5722;57,15;16,04;212,9;12067884;10328;287951;35794
Zamora;185432;14,21;5,55;103,138;11714;994;2050;5219;78;253;1351;49,94;17,33;65,9;3542033;13754;138795;39587
Zaragoza;960111;9,88;9,06;102,077;64415;4694;8321;23768;875;1550;10715;59,13;15,18;401,5;23919114;24673;510210;52832
Ávila;167015;12,24;7,41;101,845;10175;630;1856;4634;59;215;1195;54,98;21,01;60,5;3129151;11339;163548;68536
